字段,操作,原因,数量
市净率PB,删除,高基数冗余,
市盈率母公司PETTM,删除,高基数冗余,
营业收入,删除,高基数冗余,
综合税率B,删除,高基数冗余,
流动负债合计,删除,高基数冗余,
年个股总市值,删除,高基数冗余,
流动资产比率,删除,高基数冗余,
总资产净利润率ROAB,删除,高基数冗余,
总资产周转率B,删除,高基数冗余,
所有者权益比率,删除,高基数冗余,
流动资产合计,删除,高基数冗余,
资本密集度,删除,高基数冗余,
资本积累率,删除,高基数冗余,
营业成本,删除,高基数冗余,
流动比率,删除,高基数冗余,
权益乘数2,删除,高基数冗余,
不考虑现金红利再投资的年个股回报率,删除,高基数冗余,
利润总额,删除,高基数冗余,
权益乘数,删除,高基数冗余,
考虑现金红利再投资的年个股回报率,删除,高基数冗余,
托宾Q值,删除,高基数冗余,
