字段,操作,原因,数量
综合税率A,补充缺失,线性插值,
综合税率B,补充缺失,线性插值,
所得税率,补充缺失,线性插值,
权益乘数2,补充缺失,线性插值,
资本保值增值率,补充缺失,线性插值,
资本积累率,补充缺失,线性插值,
资本密集度,补充缺失,线性插值,
总资产净利润率ROAB,补充缺失,线性插值,
净资产收益率ROEB,补充缺失,线性插值,
市盈率PETTM,补充缺失,线性插值,
市净率PB,补充缺失,线性插值,
市盈率母公司PETTM,补充缺失,线性插值,
托宾Q值,补充缺失,线性插值,
审计日期,补充缺失,ffill,
审计意见类型,补充缺失,众数,
审计师,补充缺失,众数,
境内审计事务所,补充缺失,众数,
审计师是否来自国际四大,补充缺失,线性插值,
审计师是否来自国内十大,补充缺失,线性插值,
境内审计费用金额,补充缺失,线性插值,
审计费用合计,补充缺失,线性插值,
利润总额,补充缺失,线性插值,
净利润,补充缺失,线性插值,
总资产周转率B,补充缺失,线性插值,
董事人数,补充缺失,线性插值,
其中独立董事人数,补充缺失,线性插值,
监管层持股数量,补充缺失,线性插值,
总资产增长率B,补充缺失,线性插值,
营业收入增长率B,补充缺失,线性插值,
月均超额换手率,补充缺失,线性插值,
不考虑现金红利再投资的年个股回报率,标准化,RobustScaler,
产权比率,标准化,MinMax,
其中独立董事人数,标准化,Z-Score,
净利润,标准化,BoxCox,
净资产收益率ROEB,标准化,Z-Score,
利润总额,标准化,BoxCox,
员工人数,标准化,decimal,
固定资产净额,标准化,Z-Score,
境内审计费用金额,标准化,decimal,
实收资本或股本,标准化,decimal,
审计师是否来自国内十大,标准化,MinMax,
审计师是否来自国际四大,标准化,MinMax,
审计费用合计,标准化,decimal,
市净率PB,标准化,MinMax,
市盈率PETTM,标准化,Z-Score,
市盈率母公司PETTM,标准化,Z-Score,
年个股总市值,标准化,log1p,
总资产净利润率ROAB,标准化,Z-Score,
总资产周转率B,标准化,Z-Score,
总资产增长率B,标准化,MinMax,
所得税率,标准化,Z-Score,
所有者权益比率,标准化,Z-Score,
托宾Q值,标准化,MinMax,
无形资产比率,标准化,MinMax,
月均超额换手率,标准化,MinMax,
有形资产比率,标准化,MinMax,
机构投资者持股比例,标准化,MinMax,
权益乘数,标准化,log1p,
权益乘数2,标准化,BoxCox,
独立董事占比,标准化,MinMax,
监事会规模,标准化,RobustScaler,
监管层持股数量,标准化,decimal,
管理层平均年龄,标准化,BoxCox,
管理层持股比例,标准化,MinMax,
管理层男性占比,标准化,BoxCox,
经营活动产生的现金流量净额,标准化,decimal,
综合税率A,标准化,Z-Score,
综合税率B,标准化,MinMax,
考虑现金红利再投资的年个股回报率,标准化,RobustScaler,
营业外收入占比,标准化,MinMax,
营业收入增长率B,标准化,Z-Score,
董事人数,标准化,log1p,
董事会规模,标准化,Z-Score,
负债合计,标准化,BoxCox,
购建固定资产无形资产和其他长期资产支付的现金,标准化,BoxCox,
资产总计,标准化,log1p,
资本保值增值率,标准化,MinMax,
资本密集度,标准化,Z-Score,
资本积累率,标准化,MinMax,
销售费用率,标准化,MinMax,
长期负债权益比率,标准化,MinMax,
长期资本负债率,标准化,MinMax,
高管人数,标准化,log1p,
不考虑现金红利再投资的年个股回报率,异常值处理,保持原样,1.0
产权比率,异常值处理,保持原样,3.0
总资产增长率B,异常值处理,保持原样,2.0
所得税率,异常值处理,保持原样,2.0
托宾Q值,异常值处理,保持原样,8.0
无形资产比率,异常值处理,保持原样,2.0
月均超额换手率,异常值处理,保持原样,3.0
有形资产比率,异常值处理,保持原样,2.0
监事会规模,异常值处理,保持原样,1.0
管理层平均年龄,异常值处理,保持原样,9.0
经营活动产生的现金流量净额,异常值处理,保持原样,9.0
综合税率B,异常值处理,保持原样,5.0
考虑现金红利再投资的年个股回报率,异常值处理,保持原样,1.0
营业外收入占比,异常值处理,保持原样,5.0
资本保值增值率,异常值处理,保持原样,5.0
资本积累率,异常值处理,保持原样,5.0
高管人数,异常值处理,保持原样,14.0
审计日期,删除,手动选择,
资本保值增值率,删除,高基数冗余,
长期负债权益比率,删除,高稀疏度,
总资产增长率B,删除,高基数冗余,
负债合计,删除,高基数冗余,
营业收入增长率B,删除,高基数冗余,
产权比率,删除,高基数冗余,
长期资本负债率,删除,高稀疏度,
资产总计,删除,高基数冗余,
综合税率A,删除,高基数冗余,
市盈率PETTM,删除,高基数冗余,
净利润,删除,高基数冗余,
市净率PB,删除,高基数冗余,
市盈率母公司PETTM,删除,高基数冗余,
综合税率B,删除,高基数冗余,
年个股总市值,删除,高基数冗余,
所得税率,删除,高基数冗余,
所有者权益比率,删除,高基数冗余,
销售费用率,删除,高稀疏度,
资本密集度,删除,高基数冗余,
资本积累率,删除,高基数冗余,
固定资产净额,删除,高基数冗余,
不考虑现金红利再投资的年个股回报率,删除,高基数冗余,
利润总额,删除,高基数冗余,
权益乘数,删除,高基数冗余,
考虑现金红利再投资的年个股回报率,删除,高基数冗余,
托宾Q值,删除,高基数冗余,
